short_name,new_pua
squares.below.rectangle,10030.0
rectangle.grid.2x2,1006000000.0
rectangle.grid.2x2.fill,10060000000.0
triangle,1006000.0
triangle.fill,10060000.0
francsign.square.fill,1005.0
florinsign.square,10050.0
florinsign.square.fill,100500.0
turkishlirasign.square,1005000.0
turkishlirasign.square.fill,10050000.0
rublesign.square,100500000.0
rublesign.square.fill,1005000000.0
eurosign.square,10050000000.0
eurosign.square.fill,100500000000.0
dongsign.square,1005000000000.0
49.square.fill,1006.0
50.square,10060.0
50.square.fill,100600.0
